Ano;Mês;Código.IBGE.Município;Município;Densidade
2019;11;4103602;Cambará;78,09542587
2023;5;4103602;Cambará;88,14304179
2024;2;4103602;Cambará;87,90607497
2020;5;4103602;Cambará;73,26104101
2019;2;4103602;Cambará;81,91826390
2024;10;4103602;Cambará;71,40845070
2020;7;4103602;Cambará;71,57778999
2019;3;4103602;Cambará;81,81530176
2020;9;4103602;Cambará;70,25445692
2021;10;4103602;Cambará;80,64844147
2019;6;4103602;Cambará;81,07872644
2024;8;4103602;Cambará;81,74989330
2023;8;4103602;Cambará;88,66006032
2024;3;4103602;Cambará;87,36751400
2023;12;4103602;Cambará;88,07410599
2020;12;4103602;Cambará;71,33825493
2021;2;4103602;Cambará;84,72865782
2022;11;4103602;Cambará;91,44334339
2022;4;4103602;Cambará;81,41499472
2023;7;4103602;Cambará;89,21585523
2022;7;4104709;Carlópolis;89,41141674
2021;2;4104709;Carlópolis;109,92616330
2021;9;4104709;Carlópolis;108,15092770
2023;11;4104709;Carlópolis;95,81780538
2019;2;4104709;Carlópolis;71,23153399
2020;6;4104709;Carlópolis;64,25279330
2024;7;4104709;Carlópolis;93,14624011
2020;11;4104709;Carlópolis;63,82697130
2019;7;4104709;Carlópolis;70,86592179
2022;3;4104709;Carlópolis;106,19831840
2022;5;4104709;Carlópolis;105,04481970
2024;11;4104709;Carlópolis;93,48209711
2019;12;4104709;Carlópolis;68,61731844
2021;3;4104709;Carlópolis;108,88826970
2024;8;4104709;Carlópolis;93,18608755
2023;1;4104709;Carlópolis;87,34102337
2024;3;4104709;Carlópolis;96,29103815
2019;9;4104709;Carlópolis;69,53212291
2021;7;4104709;Carlópolis;108,71377940
2022;12;4104709;Carlópolis;89,97338066
2023;10;4104709;Carlópolis;94,84767820
2023;4;4104709;Carlópolis;87,82017155
2024;4;4104709;Carlópolis;95,75865129
2023;7;4104709;Carlópolis;89,90239574
2021;5;4104709;Carlópolis;109,09027580
2020;7;4104709;Carlópolis;64,00808025
2020;12;4104709;Carlópolis;64,17525773
2022;4;4104709;Carlópolis;106,01070110
2024;2;4104709;Carlópolis;96,27920734
2019;8;4104709;Carlópolis;70,06284916
2023;2;4104709;Carlópolis;88,02721088
2022;1;4104709;Carlópolis;107,31707320
2022;9;4104709;Carlópolis;88,20467317
2019;1;4104709;Carlópolis;71,63060982
2024;10;4104709;Carlópolis;94,47828314
2020;9;4104709;Carlópolis;62,82390638
2021;12;4104709;Carlópolis;108,15092770
2019;10;4104709;Carlópolis;70,32821229
2023;8;4104709;Carlópolis;90,11535049
2024;6;4104709;Carlópolis;96,14315291
2021;8;4104709;Carlópolis;108,32464730
2020;2;4104709;Carlópolis;68,17039106
2019;11;4104709;Carlópolis;69,65083799
2023;12;4104709;Carlópolis;94,94232476
2022;11;4104709;Carlópolis;89,29902396
2020;4;4104709;Carlópolis;65,97067039
2022;2;4104709;Carlópolis;106,58745050
2023;9;4104709;Carlópolis;94,03726708
2022;6;4104709;Carlópolis;105,50343960
2019;6;4104709;Carlópolis;71,16152069
2023;5;4104709;Carlópolis;88,15734990
2024;1;4104709;Carlópolis;95,89470571
2023;6;4104709;Carlópolis;88,84945282
2022;10;4104709;Carlópolis;90,97900030
2021;10;4104709;Carlópolis;103,99555280
2023;3;4104709;Carlópolis;88,47086661
2019;4;4104709;Carlópolis;70,70643422
2019;3;4104709;Carlópolis;70,64342225
2019;5;4104709;Carlópolis;71,18252468
2021;4;4104709;Carlópolis;109,31317920
2020;1;4104709;Carlópolis;69,05726257
2021;6;4104709;Carlópolis;108,82557820
2024;5;4104709;Carlópolis;96,20230701
2022;8;4104709;Carlópolis;90,57083703
2021;1;4104709;Carlópolis;106,06018390
2020;10;4104709;Carlópolis;63,17915854
2020;8;4104709;Carlópolis;63,54137643
2021;11;4104709;Carlópolis;102,88374680
2020;3;4104709;Carlópolis;67,15782123
2020;5;4104709;Carlópolis;64,85335196
2024;9;4104709;Carlópolis;94,24489099
2024;6;4106001;Congonhinhas;64,73557692
2020;6;4106001;Congonhinhas;49,26287140
2021;12;4106001;Congonhinhas;53,68705036
2024;5;4106001;Congonhinhas;65,04807692
2024;1;4106001;Congonhinhas;61,92307692
2023;9;4106001;Congonhinhas;59,21875000
2021;10;4106001;Congonhinhas;51,84352518
2024;4;4106001;Congonhinhas;63,43750000
2021;2;4106001;Congonhinhas;48,69594671
2020;8;4106001;Congonhinhas;48,30077904
2021;3;4106001;Congonhinhas;43,01682285
2019;6;4106001;Congonhinhas;64,64623448
2024;9;4106001;Congonhinhas;64,78322672
2020;9;4106001;Congonhinhas;47,26205261
2019;5;4106001;Congonhinhas;64,48672667
2021;5;4106001;Congonhinhas;35,68928531
2019;9;4106001;Congonhinhas;62,99614425
2024;8;4106001;Congonhinhas;64,36863303
2020;4;4106001;Congonhinhas;50,23814924
2023;8;4106001;Congonhinhas;59,01442308
2023;3;4106001;Congonhinhas;58,30528846
2023;1;4106001;Congonhinhas;57,78846154
2022;1;4106001;Congonhinhas;53,32733813
2021;8;4106001;Congonhinhas;52,28192446
2021;9;4106001;Congonhinhas;52,51798561
2019;2;4106001;Congonhinhas;64,44115301
2020;12;4106001;Congonhinhas;47,60076775
2024;11;4106001;Congonhinhas;64,25017768
2023;5;4106001;Congonhinhas;57,31971154
2023;10;4106001;Congonhinhas;60,27644231
2022;2;4106001;Congonhinhas;53,79946043
2020;5;4106001;Congonhinhas;49,70514856
2024;7;4106001;Congonhinhas;64,74769012
2023;6;4106001;Congonhinhas;57,12740385
2022;5;4106001;Congonhinhas;60,04946043
