"Código.IBGE.Município","Ano","Mês","UF","Município","Faixa.de.Velocidade","Velocidade","Tecnologia","Meio.de.Acesso","Tipo.de.Pessoa","Tipo.de.Produto","Acessos","Municipio","AreaTerritorialkm22022","Populacaoresidentepessoas2022","Densidadedemograficahabkm22022","Escolarizacao6a14anos2010","IDHM2010","PIBpercapita2021"
4102406,2022,10,"PR","Bandeirantes","512kbps a 2Mbps",2,"FTTB","Fibra","Pessoa Jurídica","LINHA_DEDICADA",2,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,4,"PR","Bandeirantes","2Mbps a 12Mbps",10,"FTTB","Fibra","Pessoa Jurídica","LINHA_DEDICADA",2,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,9,"PR","Bandeirantes","512kbps a 2Mbps",2,"ADSL1","Cabo Metálico","Pessoa Jurídica","INTERNET",20,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,7,"PR","Bandeirantes","2Mbps a 12Mbps",5,"ADSL2","Cabo Metálico","Pessoa Jurídica","INTERNET",12,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,9,"PR","Bandeirantes","2Mbps a 12Mbps",10,"ETHERNET","Fibra","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,7,"PR","Bandeirantes","> 34Mbps",100,"FTTB","Fibra","Pessoa Jurídica","INTERNET",4,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,3,"PR","Bandeirantes","12Mbps a 34Mbps",15,"VSAT","Satélite","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,3,"PR","Bandeirantes","2Mbps a 12Mbps",7.8125,"ADSL2","Cabo Metálico","Pessoa Física","INTERNET",3,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,10,"PR","Bandeirantes","2Mbps a 12Mbps",10.24,"FTTH","Fibra","Pessoa Jurídica","LINHA_DEDICADA",2,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,4,"PR","Bandeirantes","12Mbps a 34Mbps",20,"VSAT","Satélite","Pessoa Física","INTERNET",11,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
